Customer ID,Total Sales Amount
CUST9060,16975.47
CUST8956,15320.45
CUST5702,15076.119999999999
CUST2088,14952.46
CUST2671,14903.32
CUST4824,13912.83
CUST6431,12873.52
CUST3621,12779.73
CUST6279,12748.21
CUST5092,11060.76
CUST3712,11056.84
CUST5806,11043.36
CUST1780,10764.42
CUST8248,10405.08
CUST6474,10275.96
CUST7120,10108.93
CUST6877,10054.279999999999
CUST6707,9996.8
CUST1934,9993.0
CUST6015,9981.75
CUST2896,9949.54
CUST1482,9893.75
CUST8519,9871.4
CUST6613,9779.5
CUST1757,9775.3
CUST9082,9768.85
CUST2159,9729.2
CUST7382,9701.9
CUST5607,9687.7
CUST9587,9625.5
CUST2383,9504.3
CUST1848,9448.95
CUST2738,9447.1
CUST3101,9402.439999999999
CUST1021,9390.16
CUST6402,9363.82
CUST9703,9363.1
CUST3608,9347.25
CUST7535,9338.3
CUST8038,9277.35
CUST2667,9262.2
CUST4337,9236.45
CUST1524,9184.06
CUST8284,9174.7
CUST5215,9173.55
CUST9782,9162.39
CUST7462,9160.0
CUST6271,9134.95
CUST5125,9127.35
CUST9408,9116.76
CUST1886,9078.95
CUST9911,9078.15
CUST8790,9069.9
CUST5033,9069.8
CUST6147,9067.2
CUST6698,9034.2
CUST4761,9013.15
CUST6393,8983.2
CUST1582,8957.15
CUST3283,8892.65
CUST5579,8876.6
CUST4193,8846.49
CUST6382,8802.25
CUST4565,8788.85
CUST2482,8778.85
CUST3885,8758.1
CUST4473,8744.39
CUST2761,8733.0
CUST4219,8732.42
CUST1698,8666.5
CUST6839,8643.09
CUST3591,8635.55
CUST7369,8600.35
CUST2802,8586.5
CUST3554,8573.85
CUST7828,8550.689999999999
CUST6876,8549.9
CUST3888,8537.4
CUST3422,8523.4
CUST3005,8514.9
CUST5630,8512.8
CUST8234,8501.54
CUST5392,8448.9
CUST6847,8447.8
CUST7508,8427.45
CUST9692,8360.42
CUST9105,8351.05
CUST5693,8345.0
CUST3592,8344.6
CUST2393,8344.05
CUST4263,8333.9
CUST8502,8329.3
CUST5890,8322.55
CUST8210,8302.4
CUST7018,8283.0
CUST9207,8229.32
CUST7605,8215.7
CUST5894,8203.43
CUST7054,8187.85
CUST9627,8165.280000000001
CUST2451,8122.09
CUST9899,8097.179999999999
CUST9974,8091.3
CUST2599,8071.2
CUST3852,8030.45
CUST9567,8026.22
CUST2696,8026.15
CUST6768,8025.5
CUST2226,8021.1
CUST2165,8014.45
CUST6694,7970.95
CUST8819,7966.0
CUST5567,7965.6
CUST4254,7955.35
CUST2913,7954.65
CUST7836,7910.64
CUST5643,7889.2
CUST8942,7888.28
CUST7407,7877.71
CUST3605,7863.45
CUST9708,7859.7
CUST5321,7848.92
CUST8213,7841.85
CUST5477,7810.1
CUST4244,7804.45
CUST2998,7792.8
CUST5980,7784.95
CUST8230,7774.8
CUST3368,7761.76
CUST9778,7755.83
CUST4330,7753.35
CUST8418,7743.25
CUST3924,7727.05
CUST5318,7723.92
CUST1370,7689.48
CUST2800,7680.36
CUST7721,7679.84
CUST1640,7672.900000000001
CUST1355,7660.55
